子供{{c1::あっての}}我が家、子供がいなかったら、即離婚だな。	あっての<br>あればの<br>あったの<br>あるべき
以前は内気な日本人にとって人の前で歌を歌うのは恥ずかしいことでした。しかしカラオケがはやって以来、マイクを握ろう{{c1::ものなら}}、なかなか手放さない人も増えました。	ものなら<br>と思いきや<br>とすれば<br>が最後
この団地の中には、スーパーマーケットはもとより、郵便局、銀行、幼稚園、病院、はては葬儀場{{c1::に至るまで}}そろっている。つまり死ぬまでこの中だけで過ごせるわけだ。	に至るまで<br>はおろか<br>もさることながら<br>にしたところで
このコンピューターはもうすぐ、もっといい機種が出るはずです。今お持ちの機械がこわれた{{c1::にしても}}、買うものはもう２，３か月待った方が良いと思いますよ。	にしても<br>ものなら<br>とあっては<br>ときたら
この病気は治らないとはいえ、注意さえすればほとんど普通の生活を送ることができます。でも注意を守らないと命に{{c1::かかわる}}場合もありますよ。	かかわる<br>あたいする<br>関する<br>至る
昔は親の言うことに反抗しよう{{c1::もの}}なら、げんこつが飛んできたものだ。	もの<br>こと<br>ところ<br>とする
このレストランの味は{{c1::さる}}ことながら、食器がまた素晴らしいですね。	さる<br>わるい<br>いい<br>とる
政府から大量の米が被災地に届けられた。{{c1::といっても}}一人あたりでは、茶碗１杯にすぎない。	といっても<br>というのに<br>というのは<br>というより
今世紀最大のピアニストと言われる{{c1::だけあって}}、彼の演奏には聴衆は皆感動した。	だけあって<br>だけで<br>くらいで<br>ほどで
彼らがあの時代に豊かな生活を送っていた{{c1::とすれば}}、すぐれた農耕技術を身につけていたはずだ。	とすれば<br>ともすれば<br>としては<br>とにかく
男達は毎日汗とほこり{{c1::まみれ}}になって、鉄道工事を急いだ。	まみれ<br>さえ<br>ずくめ<br>だけ
わが校は、男女・年齢を{{c1::問わず}}、どなたでも入学できます。	問わず<br>聞かず<br>言わず<br>かかわらず
何があったに{{c1::しろ}}、そんなに泣いてばかりいたらだめよ。	しろ<br>しては<br>しようが<br>したら
試験に落ちたことを知った彼女は、今にも泣き出さん{{c1::ばかり}}だった。	ばかり<br>くらい<br>よう<br>ほど
初めて作ったもの{{c1::にしては}}、よくできていますよ。	にしては<br>として<br>というと<br>といっては
山で道に迷っていたら、上空をヘリコプターが飛んできた。私は声を{{c1::かぎりに}}助けを求めた。	かぎりに<br>ぎりぎりに<br>さいごに<br>いっぱいに
いくら裕福でも、親の愛情{{c1::なくして}}、子どもは幸せと言えるのだろうか。	なくして<br>ないでは<br>ならずに<br>ないとは
お金のことは{{c1::ともかく}}として、今は好きな仕事ができるだけで幸せです。	ともかく<br>一方<br>とかく<br>まあまあ
出発に{{c1::先立って}}少し注意を申し上げます。パスポートはなくさないよう……。	先立って<br>先走って<br>したがって<br>前もって
私が無理なお願いをした{{c1::ばかりに}}、あなたにご迷惑をかけてしまいましたね。	ばかりに<br>ばかりで<br>だけに<br>だけあって
この辺で、アパートを借りるとなると、４万から５万円{{c1::といったところ}}ですね。	といったところ<br>ということ<br>としたところ<br>としたこと
世界中で毎年１００万人{{c1::あまり}}人が、飢えで命を落としている。	あまり<br>からの<br>よりの<br>までの
「あの仕事、終わりましたか」「途中で急用が入って、まだ{{c1::やりっぱなし}}です」	やりっぱなし<br>やりかけ<br>やりっきり<br>やったまま
日本で暮らして行く{{c1::上で}}大事なことは、他人とあまり違うことをしないことです。	上で<br>以来<br>最中で<br>ところで
T市の夜祭りは、真夜中から夜明けに{{c1::かけて}}にぎやかに繰り広げられる。	かけて<br>わたって<br>通して<br>そって
どこに行く{{c1::ともなく}}歩いていると、いつの間にか大きな寺の前に来ていた。	ともなく<br>が早いか<br>わけもなく<br>つもりで
明日の模擬試験は、時間も内容も本番の試験に{{c1::即して}}行います。	即して<br>よって<br>まねして<br>同様に
この風邪はほうっておくと、肺炎になる{{c1::おそれ}}があります。入院した方がいいですね。	おそれ<br>気味<br>向き<br>おびえ
田舎から送ってきたりんごです。一つ{{c1::あがって}}みてください。	あがって<br>さしあげて<br>なさって<br>お食べして
がんばって駄目だったのならあきらめるが、電車の事故で試験が受けられなかったなんて、あきらめようにも{{c1::あきらめきれない}}。	あきらめきれない<br>あきらめられる<br>あきらめかねない<br>あきらめるほかない
二度とあのような悲惨な戦争が起きないことを、私どもは願って{{c1::やみません}}。	やみません<br>やめません<br>とめません<br>とまりません
あの政治家は「私は選挙違反はやっていない」と言い続けたが、証拠をつきつけられると「妻がやったことだ」と言い出す{{c1::始末だ}}。	始末だ<br>終末だ<br>結果だ<br>最後だ
彼はいわば天才であって、誰もが努力して彼のようになれる{{c1::わけではない}}。	わけではない<br>はずがない<br>どころでない<br>わけがない
オリンピックに出ることが長年の彼の夢だった。出場が決まってどんなに喜んだか想像に{{c1::かたくない}}。	かたくない<br>むずかしい<br>やさしい<br>わからない
2年前私がこの国に来た時は、まわりの人の声はうるさい音に{{c1::すぎなかった}}。それがある日突然、意味のある言葉として聞こえてきた。	すぎなかった<br>相違なかった<br>たえなかった<br>聞こえなかった
山に登ったところ、山頂はﾎﾃﾙやおみやげ屋で町のようになっていた。なぜ静かな山をそのままに{{c1::せずにはおかない}}のだろうか。	せずにはおかない<br>しないでもない<br>しかねない<br>せざるをえない
お金さえあれば何でもできるわけではない。でも、何をする{{c1::にせよ}}、全然お金がなければ、やはり何もできないと思う。	にせよ<br>にもまして<br>までもなく<br>ところで
彼は、すべてに世話を焼きたがる母親と一緒にいる限り、自分は結婚もできないと思った。それで就職する{{c1::やいなや}}、部長に地方への転勤を願い出た。	やいなや<br>とたんに<br>かしないかのうちに<br>そばから
交通事故で死ぬ人が1年で1万人を越えた。せまい日本でこれ以上車を増やす{{c1::べきではない}}と思う。でも車が売れないとますます不景気になるかもしれない。どうすればいいのだろう。	べきではない<br>べくもない<br>べしだ<br>べからざること
「一人暮らしがしたい」と言うから、アパートを借りてやった{{c1::ものの}}、ちゃんと暮しているかしら。	ものの<br>もので<br>ものを<br>ものは
今日はボーナス後の日曜日{{c1::とあって}}、デパートは大変な人出だ。	とあって<br>としては<br>といって<br>だからといって
外国旅行も3回目{{c1::ともなれば}}、だいぶゆとりが出てきましたね。	ともなれば<br>ともすれば<br>ともあれ<br>のところを
散歩{{c1::がてら}}、スーパーに寄ってパンを買ってきた。	がてら<br>ついで<br>とちゅう<br>ながら
息子は家族の心配を{{c1::よそに}}、仕事もしないでゆうゆうと遊んでいる。	よそに<br>そとに<br>うえに<br>あとに
頭が痛いのなら無理しないで、薬を{{c1::飲むなり}}早く寝るなりしなさい。	飲むなり<br>飲むと<br>飲むや<br>飲んだり
あの人はいい人ではあるが、社長{{c1::としては}}力不足である。	としては<br>について<br>によって<br>においては
本日は皆様おいそがしい{{c1::ところ}}を、こんなにお集まりいただきまして、ありがとうございます。	ところ<br>とき<br>もの<br>こと
彼は楽器なら何{{c1::であれ}}、じょうずに弾くことができる。	であれ<br>であり<br>としても<br>をしても
100点をとれとは言わない{{c1::までも}}、せめて70点は取らないと合格しないよ。	までも<br>までに<br>までは<br>まで
病気が治った{{c1::とはいえ}}、しばらくは運動やお酒はひかえなさい。	とはいえ<br>としては<br>ときたら<br>にしては
歯が痛くて、ごはんを{{c1::食べよう}}にも食べられない。	食べよう<br>食べて<br>食べたい<br>食べる
いまさらどんなに後悔した{{c1::ところで}}、失敗を元に戻すことはできない。	ところで<br>はずが<br>ところが<br>ことでも
私の名誉に{{c1::かかわる}}問題です。お金で済ませないで、きちんと謝ってください。	かかわる<br>応じる<br>限る<br>際する
給料日まであと千円しかない。もう1円{{c1::たりとも}}無駄づかいできない。	たりとも<br>になるまで<br>だけなら<br>どころか
その危険性は何度も指摘されていた。今度の事故は起こる{{c1::べく}}して起こったことだ。	べく<br>べき<br>ために<br>はずに
デパートのドアが{{c1::開くや}}いなや、客がどっとなだれ込んだ。	開くや<br>開いて<br>開いたら<br>開くと
その光景を一目見る{{c1::なり}}、かの除は恐怖で倒れてしまった。	なり<br>とたん<br>が最後<br>そばから
食べる物がなくて死ぬ人がいる{{c1::一方}}で、日本のように食べ物を捨てている国もある。	一方<br>かたわら<br>片方<br>半分
他人のやり方は気にしないで、あなたはあなた{{c1::なりに}}がんばればいいんですよ。	なりに<br>さえ<br>しか<br>ほどに
彼女の美しさは、そこにいたすべての人の目にひきつけずに{{c1::おかなかった}}。	おかなかった<br>余儀なくした<br>あたいした<br>あたらなかった
責任者みずから{{c1::謝らない限り}}、他の人がいくら謝っても許さない。	謝らない限り<br>謝る限り<br>謝ろうが<br>謝るにかかわらず
いつも用心深い妻がドアを開けっ{{c1::ぱなしで}}出かけている。どうしたのだろう。	ぱなしで<br>きり<br>まま<br>あげく
女性の進学率の上昇に{{c1::ともなって}}、結婚の年齢も遅くなっている。	ともなって<br>もとづいて<br>わたって<br>関して
けちな人に{{c1::限って}}、他の人のことを「あいつはけちだ」と言うものだ。	限って<br>ついて<br>関して<br>対して
大人だって急に酒を飲むと死ぬことがある。子どもに酒を飲ませてはいけないのは{{c1::いうまでもない}}。	いうまでもない<br>いえなくもない<br>いわない方がいい<br>いわないでもない
子どもなら皆かかる病気です。すぐ治りますから、ご心配には{{c1::およびません}}。	およびません<br>かけません<br>さしつかえません<br>なさいません
国民の命を見殺しにした政治家にはげしい怒りを{{c1::禁じえなかった}}。	禁じえなかった<br>禁じなかった<br>禁じられた<br>禁じていなかった
どうしても貸してくれというなら{{c1::貸さないでもない}}が、何に使うのかね。	貸さないでもない<br>貸すこともない<br>貸すわけでもない<br>貸さないわけがない
いくらダイエット中でも、目の前にこんなごちそうを出されたら{{c1::食べずにいられない}}。	食べずにいられない<br>食べてはいられない<br>食べないではおかない<br>食べるわけにはいかない
「子ども時代は思いきり遊ばせた方がいい」と、皆思っている。ところが、自分の子どもの{{c1::こととなると}}、「少しでも早く勉強を始めさせた方がいいのでは」と不安にかられてしまう。	こととなると<br>ことをみると<br>ことにすれば<br>ことであろうと
オオカミが人間の少女を育てたという話は、はたして本当だろうか。たとえオオカミに育てられた{{c1::からといって}}、人間の足や目の働きがオオカミのようになるとは考えられない。その少女を拾った人の想像ではあるまいか。	からといって<br>からというもの<br>のではあるまいし<br>にもかかわらず
彼は静かに演奏を終えた。会場は一瞬シーンとなったが、次の瞬間、会場が{{c1::割れんばかりの}}拍手がまき起こった。	割れんばかりの<br>割れないばかりの<br>割れたばかりの<br>割れようばかりの
去年までは学生の好きなところに就職できた。今年は一転して不景気で就職難だ。人の運命は、努力や才能に{{c1::反して}}、生まれるのが一年はやいか遅いかで決まることもあるのだ。	反して<br>かかわらず<br>したがって<br>即して
遊園地の乗り物はどんなに恐ろしくても、安全性は計算しつくされている。{{c1::それにひきかえ}}大自然はおだやかに見えても、大きな危険性が常に隠されている。	それにひきかえ<br>それにもまして<br>いかんにかかわらず<br>その半面
彼は子ども時代のつらい経験を、涙{{c1::ながらに}}語った。	ながらに<br>ばかりに<br>ともに<br>がてらに
今はさわやかな毎日だが、6月とも{{c1::なれば}}雨の日が続く。	なれば<br>すると<br>いえば<br>なって
もともとがんこな人だったが、年を取ると以前にも{{c1::まして}}がんこになった。	まして<br>さらに<br>ますます<br>いっそう
病気だったのなら、お見舞いに行ってあげた{{c1::ものを}}。どうして電話してくれなったの。	ものを<br>ところを<br>はずを<br>ことを
その客はスカートを10着も試着した{{c1::あげく}}、1着も買わないで帰った。	あげく<br>どころか<br>かぎり<br>が最後
あんなことをいわれて、あなた{{c1::にすれば}}、さぞくやしいでしょうね。	にすれば<br>といえば<br>にきては<br>となると
平和なれば{{c1::こそ}}、将来の夢を語ることができる。	こそ<br>ゆえに<br>から<br>さえ
いまさらどんなに後悔した{{c1::ところで}}、取り返しはつかないだろう。	ところで<br>どころか<br>ものが<br>ものでも
暑かった去年の夏に{{c1::ひきかえ}}、今年の夏は寒いくらいだ。	ひきかえ<br>反対に<br>逆に<br>おきかえ
もう年だなあ！　勉強しても覚える{{c1::そばから}}忘れてしまうよ。	そばから<br>途中から<br>あとから<br>一から
わずか８歳{{c1::にして}}、その少年はチェスのプロである父親を負かした。	にして<br>になって<br>として<br>としては
彼女は、息子が婚約すると、本人{{c1::はもとより}}家族や親戚のことまで調べた。	はもとより<br>をはじめて<br>ならずも<br>といわないまでも
一人息子が家を{{c1::出て}}からというもの、母親はいきる力を失ったようだ。	出て<br>出た<br>出る<br>出よう
軍隊のような規則{{c1::ずくめ}}の生活は、もうまっぴらだ。	ずくめ<br>まみれ<br>だらけ<br>ばかり
私の青春は戦争でつぶされた。今の平和が続くことを願って{{c1::やまない}}。	やまない<br>おわらない<br>きりない<br>かぎりない
教師{{c1::たる}}もの、学生を叱るよりまず自分自身が勉強しなければ。	たる<br>なる<br>ある<br>さる
「勉強が好きだ」と{{c1::いえば}}うそになるが、全然しないわけではない。	いえば<br>すれば<br>なれば<br>いうなら
「ゼロを一つ間違えたんじゃないか」「漢字で一千万円と書いてあるんだ。間違え{{c1::ようがない}}よ」	ようがない<br>はずがない<br>わけがない<br>かねない
この小説は事実に{{c1::もとづいて}}かかれただけあって、迫力がある。	もとづいて<br>際して<br>よって<br>反して
社長は社員に給料を払わない{{c1::ばかりか}}、そのことに対する説明もしない。	ばかりか<br>に限らず<br>ものの<br>とはいえ
日本人はとかく、うわさをすぐ信用{{c1::しがち}}だ。冷静に真実を確かめるようにしなければ。	しがち<br>するべき<br>すまじき<br>しかねない
「えっ、それを一人で全部食べてしまったの」「だって、昨日から何も食べていないんです{{c1::もの}}」	もの<br>ので<br>こと<br>ゆえ
今年は戦後ちょうと５０年目の{{c1::こととて}}、各地で記念行事が行われた。	こととて<br>だから<br>わけで<br>だけあって
梅雨が明けた。これからはだんだん暑くなる{{c1::一方}}だ。	一方<br>ところ<br>だけ<br>以上
ちょっと気分が悪いのです。{{c1::帰らせて}}いただいていいでしょうか。	帰らせて<br>帰られて<br>お帰り<br>お帰りになって
アメリカ人といっても、皆が必ずしも英語を話す{{c1::わけではない}}。	わけではない<br>はずがない<br>わけがない<br>にきまっている
現在、この病気が治せるのはあの医者をおいて{{c1::ほかにはいない}}。	ほかにはいない<br>ほかにもいる<br>ほかにいるかもしれない<br>ほかにいなくもない
ひどい奥さんと別れた友人は「結婚なんて{{c1::するものではない}}」と、いつも私に忠告する。	するものではない<br>するわけがない<br>しないものでもない<br>するどころではない
最近は交通事故はニュースにもならないが、毎年１万人も死んでいるということは深刻な事態だと{{c1::いわざるをえない}}。	いわざるをえない<br>いわないだろう<br>いわないものでもない<br>いうわけにはいかない
あの女優は、顔はたしかにきれいだけど、縁起は小学生なみで{{c1::見るにたえない}}。	見るにたえない<br>見てはいけない<br>見ることができない<br>見ないものでもない
日本の女性の大学進学率は、世界でも一、二を争うほどだ。{{c1::にもかかわらず}}、社会で活躍する女性の割合は、先進国中、最低に近いのはどうしたことだろう。	にもかかわらず<br>それにもまして<br>それに関して<br>そうしたところで
人の体の欠点を笑い物にするのは、ユーモアとは呼べないはずだ。しかしテレビでは、そのような番組ばかりやっている。障害者をからかうに{{c1::至っては}}、怒りを禁じ得ない。	至っては<br>おいては<br>もまして<br>ついて
一口に犬といってもいろいろな種類がいる。しかし、どんな種類の犬{{c1::であれ}}、人間のもっとも良い友達であることに違いはない。	であれ<br>とはいえ<br>いかんで<br>といい
その日も夫は妻に文句を言い続けた。いつもおとなしい彼女の{{c1::ことだから}}、だまって聞き流すと思いきや、突然「それなら別れましょう」ときっぱりと言った。	ことだから<br>だけあって<br>ものだから<br>はずで
海外に出張した折、劇を見に連れて行ってもらった。みんなゲラゲラ笑っているのだが、外国語のわからない私にはおもしろさが{{c1::わかるはずもなく}}、一人でだまっていた。	わかるはずもなく<br>わからんがため<br>わからないながらに<br>わかるまでもなく
さあ、食事を始めようという{{c1::ところ}}に、電話がかかってきた。	ところ<br>とたん<br>もの<br>こと
そんなことをして、父親{{c1::として}}子どもに恥ずかしくないの？	として<br>とはいえ<br>だから<br>ならば
最新の医学を{{c1::もって}}しても、彼女の病気を救うことはできなかった。	もって<br>とって<br>つかって<br>よって
あの二人は仲のいい夫婦だと{{c1::思いきや}}、突然離婚してまわりを驚かせた。	思いきや<br>思えば<br>思いつつ<br>思ったり
お土産を買ってきました。明日ごあいさつ{{c1::かたがた}}、お宅にお持ちします。	かたがた<br>一方で<br>かたわら<br>しながら
社長{{c1::あっての}}わが社です。どうかご自愛ください。	あっての<br>にとって<br>によれば<br>であれば
Ａさんは信頼するに{{c1::足}}人です。安心してまかせてなさい。	足<br>できる<br>あたる<br>なる
水不足が深刻です。水を出し{{c1::っぱなし}}で歯を磨くのはやめましょう。	っぱなし<br>ながら<br>っきり<br>つつ
吹く風に暖かさが感じられ、だんだん春{{c1::めいて}}きた。	めいて<br>じみて<br>っぽく<br>らしく
この仕事は技術もいるし、責任も重い。その{{c1::わりに}}報酬が少ない。	わりに<br>ために<br>せいで<br>おかげで
ごめんなさい。疲れていた{{c1::ものだから}}、約束をすっかり忘れて寝てしまいまったの。	ものだから<br>わけだから<br>ことだから<br>からとて
彼は毎日、５時になる{{c1::が早いか}}、会社を飛び出していく。	が早いか<br>かないかのうちに<br>とたんに<br>そばから
となりの息子は働きながら、大学を一番で卒業したそうだ。それに{{c1::ひきかえ}}うちの息子は、親の金で遊んでばかりいる。	ひきかえ<br>しては<br>したって<br>ひきかえに
宝くじを買ったら、１番の違いで３千万円をのがしてしまった。くやしい{{c1::ったら}}ありゃしない。	ったら<br>のは<br>ければ<br>なら
そんな命令を出す社長も社長{{c1::なら}}、それに従う社員も社員だね。	なら<br>だから<br>といえば<br>だったら
新しい法案を{{c1::めぐって}}、与党と野党が激しく論議している。	めぐって<br>対して<br>ついて<br>関して
彼は子どものとき中国で育った{{c1::だけに}}、中国語の発音が良い。	だけに<br>ばかりに<br>ながら<br>からには
新しい市長は、議員の批判を{{c1::ものとも}}せずに、改革を進めていった。	ものとも<br>ものを<br>ものにも<br>ものに
戦後、父は{{c1::生きんが}}ために、あらゆる仕事に手を出した。	生きんが<br>生きよう<br>生きたい<br>生きた
幼い子どもをゆうかいして殺すなんて、許し{{c1::がたい}}ことだ。	がたい<br>まじき<br>にくい<br>かねない
このメロンはちょっと高いけど、味{{c1::といい、といい}}かおり{{c1::といい、といい}}最高だよ。	といい、といい<br>なり、なり<br>から、まで<br>であれ、であれ
アルプスの夕日のすばらしさと{{c1::いったら}}とても口では言い表せないよ。	いったら<br>なれば<br>いえば<br>したら
おいしそうなお菓子ですね。えんりょなく{{c1::ちょうだい}}いたします。	ちょうだい<br>おあがり<br>ごちそう<br>いただき
彼の両親はプロゴルファーなんだ。彼がゴルフが上手でも驚くに{{c1::あたらない}}よ。	あたらない<br>あたいしない<br>おどろかない<br>かたくない
あの男のせいで私の人生はめちゃくちゃになった。もし、彼が無罪になったら、私自身で仕返しせずには{{c1::いけない}}。	いけない<br>やまない<br>おかない<br>ゆるさない
人前で、あんなに自分の妻の悪口を、よく{{c1::言えたものだ}}。	言えたものだ<br>言うものか<br>言わなかった<br>言ったものだった
私がさんざん待たせたにもかかわらず、彼は{{c1::いやな顔もしないで待っていた}}。	いやな顔もしないで待っていた<br>待たずに帰ってしまった<br>ひどく怒ってしまった<br>待たないではいられなかった
きのう、おもしろい物をもらったんですよ。先生にもごらんに{{c1::いれましょうか}}。	いれましょうか<br>なりますか<br>いたしましょうか<br>差し上げましょうか
今までの日本の会社は一般的に、年を{{c1::取るにしたがって}}出世していった。だが技術革新によって、若い人の方がすぐれた技術を持つ場合も多くなり、この制度もくずれ初めている。	取るにしたがって<br>取ることによって<br>取ろうが取るまいが<br>取ったがために
彼女は、若いときはなかなか才能が認められなかったが、その美ぼうが人一倍の努力{{c1::と相まって}}今や日本の代表する大女優となった。	と相まって<br>といっしょに<br>とひきかえに<br>とあって
大学に入って勉強している人が、高卒で働いている人を見下すことがあるが、それは大きな過ちだ。学生はそういう人たちに勉強{{c1::させていただいている}}のだ。大学を支えているのは、働いている人たちの税金なのだから。	させていただいている<br>していただいている<br>させられている<br>させてくださった
中高年の人の間で山登りがはやっている。それはいいことだが、どんな低い山でも天候や本人の健康状態のいかんに{{c1::よっては}}、危険な事故を起こしかねないので注意が必要だ。	よっては<br>よらず<br>かかわらず<br>では
そのレストランの主人は「物好きだ」と言われ{{c1::つつも}}、毎月一回貧しい人たちのために、ただでカレーをふるまっている。	つつも<br>ながらに<br>んがため<br>んばかりに
もう一日早く病院に行っていたら、命は助かった{{c1::ものを}}。	ものを<br>ことに<br>ものの<br>ことを
今時の若いもの{{c1::ときたら}}、老人に席をゆずろうともしない。	ときたら<br>としたら<br>だったら<br>といっても
私がどんなに努力した{{c1::ところで}}、彼にはかなわないよ。	ところで<br>わりに<br>までも<br>ものを
新しい地震情報が入り{{c1::次第}}、臨時ニュースをお送りします。	次第<br>とたんに<br>やいなや<br>が早いか
この映画は以前見た{{c1::とはいえ}}、だいぶ昔のことなので内容はほとんど覚えていない。	とはいえ<br>のだから<br>からには<br>として
この薬を飲み{{c1::始めて}}からというもの、どうも胃の調子がおかしい。	始めて<br>初めて<br>始める<br>初め
晴れたか{{c1::と思いきや}}、もう雨が降り出す。梅雨の天気は変わりやすい。	と思いきや<br>うちに<br>晴れないかと<br>早いか
これが国民を代表する政治家の姿{{c1::とは}}、あまりにも情けない。	とは<br>にも<br>だに<br>かと
暑い{{c1::につけ、につけ}}寒い{{c1::につけ、につけ}}、娘は親の健康を気づかった。	につけ、につけ<br>といい、といい<br>も、も<br>なり、なり
特急にご乗車に{{c1::際して}}は、乗車券の他に特急券が必要です。	際して<br>して<br>よって<br>とって
ちょうどお風呂に入り{{c1::かけた}}時、電話のベルが鳴った。	かけた<br>つつある<br>そうな<br>ながらの
息子がこんなことをするなんて、くやしい{{c1::やら、やら}}情けない{{c1::やら、やら}}。	やら、やら<br>なり、なり<br>といい、といい<br>ったり、ったり
日本人の奥さんをもらって、中国の料理を食べて、アメリカの家に住む。これが男の幸せの{{c1::極み}}だといわれたことがある。	極み<br>最大<br>最高<br>至り
Ａさんは看護婦だった{{c1::だけあって}}、けが人のそばにかけよるとてきぱきと手当を始めた。	だけあって<br>だからこそ<br>といえども<br>ならでは
観光客が帰った後の行楽地は、いつもゴミと空き缶{{c1::だらけ}}だ。	だらけ<br>まみれ<br>ずくめ<br>だけ
「うちの子に{{c1::限って}}そんなことするはずない」と、どの親も言う。	限って<br>だけは<br>とって<br>対して
現代は電気なしの生活は一日も考えられない。停電でも{{c1::しよう}}ものなら、たちまち大混乱が起きる。	しよう<br>しそう<br>する<br>した
社長がこの事件の責任を取って辞職したので、社長側についていた重役も退職を{{c1::余儀}}なくされた。	余儀<br>仕方<br>無理<br>可否
わが子に死なれた母は、気も狂わん{{c1::ばかりに}}泣き叫んだ。	ばかりに<br>ように<br>がために<br>ほど
貧しさ{{c1::ゆえに}}多くの苦しみを味わった彼は、必死に金をもうけ資産家となった。	ゆえに<br>だけに<br>ばかりに<br>となれば
プロの歌手{{c1::ともなると}}、のどに悪いといって真夏でも冷たい物を飲まない人もいる。	ともなると<br>ならでは<br>ゆえに<br>なればこそ
寝不足が続いて、ここのところ疲れ{{c1::気味}}だ。	気味<br>るはず<br>るもの<br>げ
とにかく本人から事情を聞かない{{c1::ことには}}、私にも何もわからない。	ことには<br>ものには<br>までは<br>わけで
タバコは１本でも有害ですが、お酒は飲みすぎ{{c1::さえ}}しなければ、それほど害にはなりません。	さえ<br>だけ<br>のみ<br>こそ
パーティーには、首相{{c1::をはじめ}}、政治家や実業家がずらりと出席した。	をはじめ<br>と問わず<br>をめぐり<br>をもとに
いくら名誉や富があっても、死んでしまえば{{c1::それまでだ}}。	それまでだ<br>それからだ<br>それだけだ<br>それほどでもない
こんなに教育費が高いと、若い夫婦は子どもを持とうにも{{c1::持てない}}。	持てない<br>持ちかねない<br>持たない<br>持とうとしない
「あれほど優秀だった彼のことだ。きっと偉くなったにちがいない」と思いきや、{{c1::食うや食わずの生活をしていた}}。	食うや食わずの生活をしていた<br>本当に優秀だった<br>はたして社長になっていた<br>やはり幸せに暮らしていた
あの男は金をもうけるためなら、人殺しだって{{c1::やりかねない}}。	やりかねない<br>やるにあたらない<br>やりかねる<br>やるにかたくない
これはあなたの仕事だが、どうしても一人では間に合わないというなら{{c1::手伝わないでもない}}。	手伝わないでもない<br>手伝うはずがない<br>手伝うにはあたらない<br>手伝うわけにはいかない
私はタバコは吸わないが、新幹線では子供の少ない喫煙車に乗ることにしている。タバコの煙が有害{{c1::といえども}}、ギャーギャー騒ぐ子供と、それに注意さえしない親を見ているよりは心の健康によいからだ。	といえども<br>のみならず<br>のこととて<br>だからこそ
受験料を払った方には領収書を差し上げます。その領収書{{c1::として}}受験票としますから、試験当日には忘れずに持ってきてください。	として<br>にとって<br>をもって<br>によって
たとえ５０歳を過ぎて人の上に立つような地位の人でも、自分の感情のままに怒ったりわがままを言うような大人{{c1::げない}}人って、どこにでもいるものです。	げない<br>らしい<br>じみた<br>っぽい
外国語を学ぶときは、まずたくさん聞いてみることだ。最初はわかろうと{{c1::わかるまいと}}気にすることはない。そのうち、体で覚えてくるものだ。	わかるまいと<br>わからないが<br>わかるまいが<br>わからなければ
「知りませんでした」と言えば、言い訳になると思っているのかい。それは甘え{{c1::というもの}}だ。プロにとって、知らないということは無能ということだよ。	というもの<br>とするもの<br>としたもの<br>というところ
大学に入った{{c1::ものの}}、毎日遊んで暮らしている。	ものの<br>ことに<br>ことが<br>ものを
彼女は客が帰る{{c1::やいなや}}、掃除を始めた。	やいなや<br>とたんに<br>すぐに<br>しだい
あの地震のすさまじさと{{c1::いったら}}、思い出しただけでも震えてくる。	いったら<br>いうなら<br>いわば<br>いえば
今日は敬老の日ですから、６０歳以上の方に{{c1::かぎり}}、入場無料です。	かぎり<br>のみならず<br>だけ<br>おいて
国際結婚をする{{c1::からには}}、奥さんの国の習慣も尊重しなければいけないよ。	からには<br>とはいえ<br>ためには<br>こととて
二人のランナーはずっと抜きつ{{c1::抜かれつ}}していたが、４０キロ地点を越えてからＡ選手の独走になった。	抜かれつ<br>抜かれず<br>抜いたり<br>抜きつつ
汚職をした政治家がまた当選してしまった。政治家{{c1::も、も}}政治家なら、それを選ぶ国民{{c1::も、も}}国民だね。	も、も<br>が、が<br>が、は<br>は、は
だめよ、そこに入っては。ここに「芝生に入る{{c1::べからず}}」って書いてあるでしょう。	べからず<br>べし<br>禁ずる<br>得ない
考え{{c1::得る}}限りの方法を考えてみたのだが。やはりあきらめるしかないだろうね。	得る<br>かねない<br>かねる<br>得ない
今日の試合で優勝が決まる{{c1::とあって}}、サッカー場の外には朝から人が並んだ。	とあって<br>といっても<br>となれば<br>とくると
飛行機は明朝８時に飛ぶ予定ですが、天候に{{c1::よっては}}遅れることがあります。	よっては<br>かかわらず<br>よらず<br>では
この本は返してくれなくてもいいですよ。人にあげる{{c1::なり}}何なり、好きにしてください。	なり<br>のも<br>とか<br>ほか
物語の内容{{c1::からして}}、この本はお子さんには少し難しいと思いますよ。こちらの漢字の少ない本はいかがですか。	からして<br>とすれば<br>によると<br>になると
父は外国に行く{{c1::たびに}}、めずらしいおみやげを買ってきてくれる。	たびに<br>ところ<br>時は<br>やいなや
この成績ではねえ。今からいくらがんばった{{c1::ところで}}、卒業することは難しいと思うよ。	ところで<br>どころか<br>とすれば<br>にしては
この輝きは、ダイヤモンド{{c1::ならでは}}のものですね。	ならでは<br>だから<br>からこそ<br>だったら
お別れして以来、あなたのことを一瞬{{c1::たりとも}}忘れたことはありません。	たりとも<br>なりも<br>からして<br>といっても
まさか！　あの正直な彼がうそを{{c1::つきっこ}}ないですよ。	つきっこ<br>つき<br>つかず<br>つきつつ
自分が子どもを持って{{c1::からというもの}}、親のありがたさがしみじみわかるようになった。	からというもの<br>おいて<br>みれば<br>はじめに
